,Area (m2),Property Type,Bedrooms,Bathrooms,Address,Law Document,Quarter,Year,Latitude,Longitude,Postal Code,Importance,Place Rank,City,Price (billion VND)
32089,108.0,4.0,4.0,2.0,7327.0,5.0,2.0,2020.0,20.9509435,105.8195705,10136.0,0.0534061638818951,26.0,1.0,0.85
21664,34.0,3.0,4.0,2.0,6164.0,5.0,2.0,2019.0,21.00573,105.8214,10165.0,0.0534061638818951,26.0,1.0,3.0
21038,30.0,3.0,4.0,4.0,140.0,3.0,2.0,2019.0,21.01257,105.82053,10165.0,7.283054856179167e-05,30.0,1.0,4.1
31954,102.4,4.0,4.0,4.0,2791.0,6.0,2.0,2021.0,21.01582791213068,105.72498613278812,34000.0,0.0534061638818951,26.0,1.0,0.102
6587,63.1,2.0,3.0,4.0,5456.0,6.0,3.0,2022.0,10.7704346,106.76994849968509,71150.0,6.703364614323671e-05,30.0,0.0,6.85
10522,62.0,0.0,4.0,2.0,7574.0,5.0,2.0,2019.0,21.01068,105.71982,34000.0,0.0534061638818951,26.0,1.0,1.183
651,76.0,0.0,2.0,2.0,4010.0,6.0,3.0,2023.0,10.737691376298365,106.7268890086342,71800.0,0.0534003669794765,26.0,0.0,3.8
3934,113.7,0.0,3.0,2.0,2429.0,4.0,1.0,2022.0,10.7146752,106.7370406,71800.0,6.703364614323671e-05,30.0,0.0,5.9
32117,86.0,4.0,4.0,2.0,4461.0,6.0,1.0,2020.0,20.955835,105.7563658,10170.0,0.0534061638818951,26.0,1.0,7.5
29179,80.0,2.0,4.0,2.0,7130.0,3.0,3.0,2021.0,21.0180725,105.8299495,10306.0,7.283054856179167e-05,30.0,1.0,20.0
5391,67.3,2.0,8.0,8.0,4731.0,6.0,4.0,2022.0,10.725631941198758,106.5986711274154,73118.0,0.0534003669794765,26.0,0.0,5.3
2618,50.0,0.0,1.0,1.0,3403.0,4.0,4.0,2022.0,10.8225791,106.7609401,71211.0,6.703364614323671e-05,30.0,0.0,1.4
14735,74.0,0.0,4.0,2.0,6581.0,6.0,2.0,2019.0,20.98662,105.78381,12011.0,0.0534061638818951,26.0,1.0,1.85
12306,135.0,0.0,4.0,2.0,289.0,5.0,3.0,2021.0,21.0442326,105.7673186,10085.0,0.0534061638818951,26.0,1.0,3.8
26655,38.0,2.0,3.0,4.0,6859.0,6.0,2.0,2023.0,20.9937815,105.8466875,11617.0,0.0534061638818951,26.0,1.0,3.5
16305,35.0,3.0,4.0,2.0,3457.0,3.0,1.0,2023.0,21.0393775,105.8226909,10287.0,0.0534061638818951,26.0,1.0,4.65
